,Müþteri ID,Ad,Soyad,Cinsiyet,Doðum Tarihi,Telefon Numarasý,Email,Adres Metni,Ýlçe,Ýl,Kayýt Tarihi,Harcama Miktarý,Harcama Tarihi,Harcama Tutarý,Banka,Harcama Tipi,Kart Tipi,Harcama Enlem,Harcama Boylam
0,12835,Raven,Patel,Erkek,1/6/1958,213.373.3987x214,irichards@example.org,"62322 Henderson Hollow Apt. 887
Nancymouth, SD 79597",shire,Melissahaven,8/26/2022,430.79,1/3/2023,389.32,Bank A,Transfer,Mastercard,-53.243647,-134.510342
1,64287,Erik,Tapia,Kadýn ,9/3/1933,+1-886-594-1897x11289,daniel34@example.org,"832 Mark Parkway Suite 161
Thomasside, TN 91226",port,East Bryan,12/15/2021,435.27,6/8/2023,138.38,Bank B,Alýþveriþ,Mastercard,57.337336,-94.155159
2,27276,Sean,Williams,Erkek,9/28/1967,507.567.8503x451,bishopmichael@example.net,"1793 Mata Harbor Apt. 404
North Amandaview, VA 03460",fort,West Debbie,4/13/2020,399.77,8/27/2023,169.35,Bank A,Fatura Ödemesi,American Express,55.502187,-173.470994
3,37620,Carolyn,Wright,Erkek,11/7/1938,811.591.4673,valerie84@example.net,"84075 Kyle Walk
Huertamouth, CA 82472",furt,South Lauren,6/30/2022,284.89,7/12/2023,196.62,Bank A,Fatura Ödemesi,Mastercard,-74.550503,8.735809
4,18500,Dustin,Whitaker,Erkek,8/5/1933,+1-617-514-1984x61429,qrodriguez@example.org,"PSC 5921, Box 3618
APO AE 81377",ville,Woodmouth,4/24/2021,100.5,4/8/2023,245.79,Bank C,Fatura Ödemesi,American Express,14.236881,2.596534
5,11511,Jose,Davis,Kadýn ,11/1/1999,3155363603,abigailhowell@example.net,"034 Travis Mountains
Port Charlesborough, NC 35134",shire,Travisberg,8/19/2022,207.23,3/8/2023,445.66,Bank A,Fatura Ödemesi,Visa,-89.339438,-6.705346
6,88994,Timothy,Dorsey,Erkek,2/10/1968,001-375-323-7397x2047,peter17@example.net,"37346 Matthew Loop Suite 946
North Gregoryfurt, NJ 08002",side,Franklinland,12/15/2022,138.06,6/27/2023,493.76,Bank B,Transfer,Mastercard,15.386183,134.595
7,54389,Danielle,Martinez,Kadýn ,12/26/1977,001-461-539-4964,brandi51@example.com,"PSC 4155, Box 6093
APO AA 48297",ton,Meganburgh,9/6/2021,119.59,2/11/2023,369.76,Bank B,Fatura Ödemesi,American Express,-85.313818,101.190109
8,28135,John,Martinez,Kadýn ,7/26/1961,488.601.7236,allison77@example.net,"027 Harrison Inlet
Jeffreymouth, MP 22352",chester,East Alanberg,4/6/2023,389.86,12/3/2023,337.59,Bank B,Fatura Ödemesi,Visa,49.423331,-6.080746
9,32652,Sean,Klein,Kadýn ,8/8/1967,6817183682,julie10@example.com,"Unit 5431 Box 2198
DPO AE 51098",land,North Jessicastad,5/8/2022,341.34,12/9/2023,107.36,Bank A,Transfer,Mastercard,-24.272433,-7.93904
